"GLT","Sex","n"
"1292","F",8
"1292","M",1
"1294","F",1
"1294","M",21
"2423","F",1
"2423","M",1
"B3","F",2
"B3","M",4
"CM13","F",26
"CM13","M",1
"E12","F",2
"E12","M",1
"EM15","F",2
"EM15","M",1
"IG5","F",1
"IG5","M",7
"JP13","M",53
"JP13","S",1
"LA15","F",1
"LA15","M",19
"LC12","F",3
"LC12","M",16
"LC4","F",7
"LC4","M",5
"MA35","M",1
"MA35","nonID",7
"MA37","M",1
"MA37","nonID",6
"MA38","M",1
"MA38","nonID",3
"MA39","M",1
"MA39","nonID",3
"MA40","M",1
"MA40","nonID",3
"MF3","F",1
"MF3","nonID",3
"MF4","M",1
"MF4","nonID",3
"MP33","F",36
"MP33","M",1
"O15","F",8
"O15","M",1
"O16","F",1
"O16","M",1
"OL12","M",21
"OL12","S",1
"OL29","F",1
"OL29","nonID",2
"OL30","F",1
"OL30","nonID",1
"OL31","M",1
"OL31","nonID",3
"PA3","F",1
"PA3","M",17
"PI3","F",4
"PI3","M",1
"PR15","F",1
"PR15","M",3
"PR8","F",2
"PR8","M",15
"PV4","F",14
"PV4","M",1
"RL11","F",3
"RL11","M",15
"RL13","F",2
"RL13","M",15
"RL14","F",1
"RL14","M",15
"RL2","F",1
"RL2","M",14
"RT1","F",1
"RT1","M",19
"RT2","F",1
"RT2","M",18
"RV3","F",10
"RV3","M",1
"RV34","M",1
"RV34","nonID",6
"RZ9","F",14
"RZ9","M",1
"SE3","F",17
"SE3","M",2
"SF1","F",3
"SF1","M",5
"SF2","F",1
"SF2","M",20
"SF3","F",2
"SF3","M",9
"SF4","F",1
"SF4","M",10
"SK10","F",2
"SK10","M",5
"SK19","F",2
"SK19","M",13
"SK5","F",1
"SK5","M",5
"ST14","F",1
"ST14","M",25
"ST3","F",2
"ST3","M",18
"ST37","M",14
"ST37","S",1
"ST40","F",1
"ST40","M",11
"TR1","M",30
"TR1","M0",1
