Group;Region;UMMPs
AF19;Poco das Antas;Poco das Antas
AS9;Faz. Rio Vermelho;Rio Vermelho
AT2;St. das Andorinhas;Imbau I
AX3;Faz. Sta Helena 2;Imbau I
AXII;Faz. Sta Helena 2;Imbau I
BB;Poco das Antas;Poco das Antas
BB2;Poco das Antas;Poco das Antas
BC;PEDR;Poco das Antas
BC2;Poco das Antas;Poco das Antas
BI;Faz. St Bira;Aldeia I
BI2;Faz. St Bira;Aldeia I
BK2;FAZ. MR;Aldeia II
BU;Rebio Uniao;Poco das Antas
C.O;Poco das Antas;Poco das Antas
CB6;Rio Vermelho;Rio Vermelho
CH2;St. das Andorinhas;Imbau I
CLA2;Faz. 2 Irmaos;Aldeia I
DC;St das Andorinhas;Imbau I
DI2;Faz. 2 Irmaos;Aldeia I
E21;Faz. Rio Vermelho;Rio Vermelho
EB;Faz. Boa Esperanca;Imbau III
ET2;Faz. Estreito;Imbau I
FA12;Faz. Afetiva;Imbau II
FA16;Faz. Afetiva;Imbau II
FG2;Poco das Antas;Poco das Antas
FN;Faz. Sta Helena;Aldeia I
FN2;Faz. Sta Helena;Aldeia I
FPII;Faz. Afetiva;Imbau II
FPIII;Faz. Afetiva;Imbau II
Foo;Poco das Antas;Poco das Antas
Fusao;Faz. Rio Vermelho;Rio Vermelho
GM10;Faz. Nova Esperanca;Imbau III
GM8;Faz. Nova Esperanca;Imbau III
GM9;Faz. Nova Esperanca;Imbau III
IP2;Faz. Iguape;Aldeia I
IPE;Sitio Ipe;Imbau III
JA;Faz. Sta Helena;Aldeia II
JM;Rebio Uniao;Uniao II
JM2;Rebio Uniao;Uniao II
JR.1;Faz. Sta Helena;Aldeia I
JU;Olhos D'agua;Poco das Antas
Jaguar;Faz. Rio Vermelho;Rio Vermelho
KN;Estrada PDA;Poco das Antas
LB2;Rebio Uniao;Uniao II
LB3;Rebio Uniao;Uniao II
LB4;Rebio Uniao;Uniao II
LB9;Rebio Uniao;Uniao II
LC1;Dois Irmãos;Aldeia I
MA15;Faz. Rio Vermelho;Rio Vermelho
MB2;Faz. Igarape;Aldeia I
MD;Faz. Rio Vermelho;Rio Vermelho
MF2/RV;Estrada PDA;Rio Vermelho
MF3;Faz. Rio Vermelho;Rio Vermelho
MK;Faz. Rio Vermelho;Rio Vermelho
MM;Faz. Rio Vermelho;Rio Vermelho
MR;Faz. Rio Vermelho;Rio Vermelho
NA;Rio Vermelho;Rio Vermelho
NE;Faz. Nova Esperanca;Imbau III
OD;OlhosD'agua;Poco das Antas
OL18;Faz. Estreito;Imbau I
OM2;Faz. Coqueiros;Aldeia I
PE;Igarape;Aldeia I
PF2;Faz. Sta Helena;Aldeia II
PJ;Faz. Rio Vermelho;Rio Vermelho
PR2;St. Professor;Imbau I
PSG2;Sitio 15 de Marco;Imbau I
PT2;Rebio Uniao (Faz Cordeiros ?);Imbau I
PT3;Rebio Uniao (Faz Cordeiros ?);Imbau I
PV;Sitio 4 Irmaos;Imbau I
RC;Sitio Recanto Preservar;Poco das Antas
RL2;Faz. Igarape;Aldeia I
RL24;Faz. Igarape;Aldeia I
RL4;Faz. Igarape;Aldeia I
RM2;Sitio Moria;Imbau I
RS;Faz. Igarape;Aldeia I
RS2;Faz. Igarape;Aldeia I
RT1;PEDREIRA;Poco das Antas
RTII;Faz. Rio Vermelho;Poco das Antas
RVII;Faz. Rio Vermelho;Rio Vermelho
SA;A. SA;Rio Vermelho
SEII;Boa Vista;Aldeia I
SF;Faz. Sao Francisco;Aldeia I
SH2;Faz. Sta Helena;Aldeia II
SID-3;Faz. Afetiva;Imbau I
SL2;Faz. Rio Vermelho;Rio Vermelho
SP3;Faz. Afetiva;Imbau II
SQII;Rebio Uniao;Uniao I
SS1;Faz. Sta Helena;Aldeia II
SS2;Faz. Sta Helena;Aldeia II
SS3;Faz. Sta Helena;Aldeia II
SSII;Faz. Sta Helena;Aldeia II
ST10;Faz. Rio Vermelho;Rio Vermelho
ST3;Faz. Rio Vermelho;Rio Vermelho
Sta Fe;Faz. Sta Fe;Imbau I
TB;OlhosD'agua;Poco das Antas
TM3;Faz. Tamarins;Imbau I
TR12;Faz. Rio Vermelho;Rio Vermelho
TRII;Faz. Rio Vermelho;Rio Vermelho
TT;Poco das Antas;Poco das Antas
Viveiro;Afetiva;Imbau II
XP;Faz. Pacoty;Imbau I
XT2;Faz. Sta Helena 2;Imbau I
Z;Faz. Rio Vermelho;Poco das Antas
ZM;Rebio Uniao ( e no imbau );Imbau I
ZN;Ribeirao( casimiro);NA
